mes,geografia,uol1_name,uol2_name,sn1,sn2,issues_analysis2_analysis_sin_review_menor_7_dias,total_issues_analysis2_pasaron_analysis_sin_review,historias_deployed_fix_version,total_historias_deployed,repositorios_activos_nomenclatura_estandar,total_repositorios_activos,mediana_tiempos_pr_ tardado_ser_mergeadas_o_rechazadas,mediana_lineas_codigo_modificadas_prs_mergeadas_o_rechazadas,repositorios_activos_gobernados_chimera,"mediana_tiempo_desde_primera_contribucion_hasta_merge
permanentes","mediana_tiempo_ejecucion_pipelines_correctos
repositorio",ejecuciones_pipeline_estado_success,ejecuciones_pipeline_estado_success_ o_failure,"mediana_tiempo_entre_fallo_y_exito_pipeline
mediana_tiempo_entre_fallo_y_exito_pipeline",repositorios_actividad_y_analisis_sonarqube_ok,repositorios_actividad_analisis_sonarqube,items_desplegados_pruebas_xray_ejecutadas,items_desplegados
06/01/2025,ESPANA,SYSTEMS ENGINEERING,PASIVO / PAYMENT SYSTEMS,MMPP,CENTRO AUTORIZADOR (HOST),4,14,1,3,6,12,5.89,41,10,1.28,7.5,5,12,172.5,3,9,5,7
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,APPS HOLDING,3,3,7,8,3,8,2.41,314.5,7,6.81,36,4,9,96.5,3,4,1,2
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,FARO - FARO,6,9,4,5,9,12,4.97,806,5,8.25,33.5,4,14,82,6,14,10,14
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,FEATURE SPACE - FS,1,8,9,12,9,13,1.19,594.5,4,1.98,16.5,3,6,118,4,10,1,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,IBM GUARDIUM ARG,5,9,9,11,4,12,0.3,943.5,1,3.8,9.5,7,11,158.5,9,10,3,13
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,PACOM,10,12,2,4,9,15,0.44,348.5,5,0.96,31,8,9,51,5,10,1,4
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,PHISHING FRAUDE INFORMATICO - PHISHING,2,9,1,12,4,6,3.47,699,6,2.72,14.5,3,15,121.5,2,11,2,13
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,PORTAL SEGURIDAD INFORMATICA - CRM SI,4,12,1,3,8,14,4.5,849,4,9.33,39.5,1,8,90.5,5,7,2,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,PROFILING - RP,2,9,4,8,9,13,0.36,630,4,4.98,26,3,14,111.5,3,15,4,10
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,SORTEOS CANALES - MSC,10,11,7,14,3,10,3.55,254.5,6,4.12,45,8,10,4.5,10,10,8,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,SPIDER,10,12,9,12,7,13,5.68,790,5,6.74,41,5,11,130.5,9,10,2,7
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,WEBZEIT,0,1,1,10,2,10,2.93,437,5,2.06,42,5,12,124,0,12,5,11
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR17 ENGINEERING SERVICES,ZPARKING,6,10,1,12,6,9,3,542.5,6,1.42,4,10,11,60,4,10,7,13
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR18 AUTOMATIZACION DE PROCESOS,ROBOTICS,4,13,1,4,10,12,5.25,508.5,5,9.16,22.5,5,11,151.5,9,13,5,6
06/01/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,AR19 DIGITALIZACION DE IMAGENES,COLDVIEW,1,7,6,8,7,13,3.87,281,1,0.54,15,1,3,48.5,9,14,10,14
