mes,geografia,uol1_name,uol2_name,service1_id,service1_name,nro_fichas_rfo,nro_sn2_ficha_rfo_status _ok,nro_sn2_sn1_dependencias,nro_sn2_sn1,nro_features_desplegadas_calidad,nro_features_desplegadas,puntaje_total_adopcion_sn2,total_sn2_sn1,total_vulnerabilidades_high,total_lineas_codigo,total_vulnerabilidades_high_mes_ant,total_lineas_codigo_mes_ant
03/25/2025,ARGENTINA,INGENIERIA & DATA,ALPHA ARCHITECTURE,3572,ALPHA,1,1,1,1,80,81,1,1,0,"54,722",0,"54,241"
03/25/2025,ARGENTINA,INGENIERIA & DATA,DATAHUB ARGENTINA,4343,DATIO-AR RIESGOS Y FINANZAS,1,1,1,1,16,20,0,1,0,"227,906",0,"226,363"
03/25/2025,ARGENTINA,INGENIERIA & DATA,DATAHUB ARGENTINA,4344,DATIO-AR MODELOS LOCALES,1,1,1,1,21,21,1,1,0,"533,864",0,"531,235"
03/25/2025,ARGENTINA,INGENIERIA & DATA,DATAHUB ARGENTINA,4345,DATIO-AR MODELOS GLOBALES,1,1,1,1,125,125,1,1,0,"166,159",0,"157,653"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,ADQUIRENCIA,416,PA02 MERCHANTS-ACQUIRING / COMERCIOS-ADQUIRENCIA,4,4,4,4,4,4,2,4,4,"217,933",4,"213,678"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,ADQUIRENCIA,4851,PA04 BBVA ADQUIRENTE - CICLO DE VIDA COMERCIOS,3,3,3,3,13,13,0,1,0,"30,069",0,"30,059"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,ADQUIRENCIA,4853,PA03 PSP - MERCURIO,1,1,1,1,6,6,0,1,0,"32,793",0,"32,590"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,ADQUIRENCIA,5297,PA05 BBVA ADQUIRENTE - TRANSACCIONALIDAD,2,2,2,2,5,5,1,2,0,"6,070",0,"6,070"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,379,AR02 ENTERPRISE WEB CORE,2,1,2,2,0,0,0,0,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,381,EB02 ENTERPRISE MOBILE / MOVILES EMPRESAS,1,1,0,1,0,0,0,0,0,"360,221",0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,382,EB01 ENTERPRISE WEB / WEB EMPRESAS,4,4,1,4,9,9,0,1,6,"1,387,016",526,"1,266,291"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,4264,AR37 WEB PUBLICA EMPRESAS,2,1,0,2,0,0,0,0,0,"26,630",0,"26,630"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,4651,EB03 CANALES EMPRESAS,5,0,2,5,0,0,1,1,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,5963,AR43 OPEN BANKING EMPRESAS,1,1,0,1,1,5,0,0,0,370,0,370
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,5964,AR42 ETPB,1,1,1,1,4,4,0,1,0,"14,685",0,"12,870"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,6478,AR44 PLATAFORMA SENDA ARG,5,5,3,5,2,4,0,1,0,"39,095",0,"31,119"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,6479,AR45 HELP DESK ARG,1,1,0,1,0,0,0,0,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,6696,AR46 GEMA ARG,1,1,0,1,0,0,0,0,0,"50,326",0,"50,326"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,332,AR21 LOANS SERVICING,2,2,2,2,7,7,2,2,0,"1,111",0,"1,111"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,333,AR20 LOANS / PRESTAMOS,3,3,3,3,2,2,3,3,0,"3,038",0,"3,038"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,334,AR25 PEOPLE NEXTGEN,2,2,2,2,11,11,0,1,0,"97,177",0,"75,584"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,335,AR24 PEOPLE LEGACY,4,4,4,4,7,7,1.5,3,0,"28,478",0,"28,462"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,336,AR22 ACCOUNTS & DEPOSITS / CUENTAS,10,10,10,10,7,7,6,9,0,"121,876",0,"121,876"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,337,AR23 PEOPLE SERVICING,5,5,5,5,14,14,3,3,0,"197,080",0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,338,AR26 SERVICIOS PASIVOS,6,6,6,6,8,8,6,6,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,4266,AR29 PRENDARIOS / HIPOTECARIOS,2,2,2,2,4,4,2,2,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,186,CF06 FINANCE / FINANZAS,13,13,13,13,5,5,6,6,0,0,0,0
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,187,CF07 PROCUREMENT,6,6,6,6,9,9,0.5,3,0,"85,751",0,"85,643"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,189,AR36 LOCAL SERVICES,9,9,8,9,2,2,0.5,4,9,"644,628",9,"642,297"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,190,CF02 COMPLIANCE,7,7,2,7,17,17,0.5,2,14,"121,932",14,"122,043"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,191,CF03 LEGAL,1,1,0,1,0,0,1,1,0,16,0,16
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,192,AR19 DIGITALIZACION DE IMAGENES,3,3,2,3,5,6,1,2,0,"150,053",0,"148,359"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,193,AR18 AUTOMATIZACION DE PROCESO,1,1,1,1,5,5,0,0,0,27,0,27
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,194,AR17 ENGINEERING SERVICES,11,11,10,12,5,5,2,3,4,"285,495",4,"271,837"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,195,CF01 TALENT & CULTURA,17,17,13,13,4,4,1,7,75,"949,729",102,"923,921"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,4265,AR38 SALUD FINANCIERA,2,2,1,2,1,1,0,0,0,"18,184",0,"17,592"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,STAFFING Y METODOLOGIA,149,AR35 BRANCHES / OFICINAS OPERATORIA,3,3,3,3,0,0,1,1,18,"3,992,352",18,"3,992,352"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF CASH,140,AR28 PAGOS Y COBROS,12,12,10,12,5,5,10,11,0,"32,785",0,"32,785"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF CASH,141,AR27 GESTION DE CHEQUES,3,3,3,3,26,26,1,3,12,"45,997",12,"36,800"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF CASH,142,PE01 PENSIONS,9,9,9,9,4,6,4,4,0,"105,907",0,"105,907"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF CASH,188,CF05 RISKS / RIESGOS MAYORISTA,15,15,5,15,9,10,9,9,0,"85,424",0,"80,428"
03/25/2025,ARGENTINA,SYSTEMS ENGINEERING,SWF CASH,380,PA01 INTERBANK PAYMENTS / PAGOS INTERBANKING,3,3,1,3,0,0,2,2,0,17,0,17
